Symbol,Quantity,OpenDate,OpenPrice,DollarCost,CloseDate,ClosePrice,ClosingAmount,GainLoss,
AMD,200,06/08/2020,53.36,10672.00,06/09/2020,55.15,11030.49,358.49,
AMD,753,06/08/2020,53.37,40187.61,06/09/2020,55.15,41529.80,1342.19,
AMD,1000,07/20/2020,55.73,55726.60,07/20/2020,56.92,56913.62,1187.02,
AMD,1000,08/31/2020,87.91,87909.90,08/31/2020,91.20,91192.86,3282.96,
AMD,500,09/21/2020,76.21,38105.00,09/24/2020,75.43,37714.10,-390.90,
AMD,500,09/21/2020,76.91,38454.65,09/24/2020,77.14,38571.58,116.93,
AMD,500,09/28/2020,78.29,39145.00,09/29/2020,81.20,40599.04,1454.04,
AMD,500,10/26/2020,83.52,41757.50,10/29/2020,78.87,39435.11,-2322.39,
AMZN Apr 03 '20 $1750 Put,1,03/24/2020,13.20,1320.52,03/24/2020,19.00,1899.44,578.92,
AMZN Apr 03 '20 $1750 Put,4,03/24/2020,13.20,5282.07,03/24/2020,19.00,7597.76,2315.69,
AMZN Apr 03 '20 $1750 Put,2,03/24/2020,13.20,2641.03,03/24/2020,19.00,3798.88,1157.85,
AMZN Apr 03 '20 $1750 Put,3,03/24/2020,13.20,3961.55,03/24/2020,19.00,5698.32,1736.77,
AMZN Apr 09 '20 $1900 Put,10,04/06/2020,6.60,6605.16,04/10/2020,0.00,0.00,-6605.16,
AMZN Apr 09 '20 $1950 Put,2,04/07/2020,2.88,577.03,04/07/2020,4.00,798.95,221.91,
AMZN Apr 09 '20 $1950 Put,6,04/07/2020,2.88,1731.10,04/07/2020,4.00,2396.84,665.74,
AMZN Apr 09 '20 $1950 Put,5,04/07/2020,2.88,1442.58,04/07/2020,4.00,1997.36,554.78,
AMZN Apr 09 '20 $1950 Put,1,04/07/2020,2.88,288.52,04/07/2020,4.00,399.47,110.96,
AMZN Apr 09 '20 $1950 Put,4,04/07/2020,2.88,1154.07,04/07/2020,4.03,1609.89,455.83,
AMZN Apr 09 '20 $1950 Put,1,04/07/2020,2.88,288.52,04/07/2020,4.03,402.47,113.96,
AMZN Apr 09 '20 $1950 Put,1,04/07/2020,2.88,288.52,04/07/2020,4.03,402.47,113.96,
AMZN Apr 09 '20 $1950 Put,10,04/07/2020,4.80,4805.16,04/10/2020,0.00,0.00,-4805.16,
AMZN Apr 09 '20 $2000 Put,3,04/09/2020,1.30,391.55,04/10/2020,0.00,0.00,-391.55,
AMZN Apr 09 '20 $2000 Put,2,04/09/2020,1.33,267.03,04/10/2020,0.00,0.00,-267.03,
AMZN Apr 17 '20 $2050 Call,4,03/12/2020,11.47,4590.07,03/13/2020,11.65,4657.82,67.76,
AMZN Apr 17 '20 $2050 Call,1,03/12/2020,11.59,1159.52,03/13/2020,11.71,1170.46,10.94,
AMZN Apr 17 '20 $2050 Call,1,03/12/2020,11.63,1163.52,03/13/2020,11.71,1170.46,6.94,
AMZN Apr 17 '20 $2050 Call,1,03/12/2020,11.77,1177.52,03/13/2020,11.70,1169.46,-8.06,
AMZN Apr 17 '20 $2050 Call,12,03/12/2020,11.80,14166.20,03/13/2020,11.70,14033.47,-132.73,
AMZN Apr 17 '20 $2050 Call,1,03/12/2020,11.49,1149.52,03/13/2020,11.70,1169.46,19.94,
AMZN Apr 17 '20 $2050 Call,1,03/12/2020,11.54,1154.52,03/13/2020,11.70,1169.46,14.94,
AMZN Apr 17 '20 $2050 Call,1,03/12/2020,11.68,1168.52,03/13/2020,11.70,1169.46,0.94,
AMZN Apr 17 '20 $2050 Call,1,03/12/2020,11.73,1173.52,03/13/2020,11.70,1169.46,-4.06,
AMZN Apr 17 '20 $2050 Call,2,03/12/2020,11.74,2349.03,03/13/2020,11.70,2338.91,-10.12,
AMZN Apr 17 '20 $2050 Call,4,03/12/2020,11.47,4590.07,03/13/2020,12.52,5005.82,415.75,
AMZN Apr 17 '20 $2050 Call,1,03/12/2020,11.74,1174.52,03/13/2020,12.52,1251.45,76.94,
AMZN Apr 17 '20 $2050 Call,5,03/12/2020,11.80,5902.58,03/13/2020,12.65,6322.27,419.69,
AMZN Apr 17 '20 $2050 Call,1,03/12/2020,11.74,1174.52,03/13/2020,12.73,1272.45,97.94,
AMZN Apr 17 '20 $2050 Call,4,03/12/2020,11.80,4722.07,03/13/2020,12.73,5089.81,367.75,
AMZN Apr 17 '20 $2050 Call,10,03/13/2020,12.00,12005.16,03/18/2020,25.00,24994.26,12989.10,
AMZN Apr 17 '20 $2050 Call,30,03/13/2020,12.00,36015.49,03/18/2020,25.00,74982.79,38967.30,
AMZN Apr 17 '20 $2050 Call,10,03/13/2020,9.74,9745.16,03/18/2020,25.00,24994.26,15249.10,
AMZN Apr 17 '20 $2100 Call,1,02/28/2020,21.00,2100.52,03/04/2020,30.65,3064.41,963.90,
AMZN Apr 17 '20 $2100 Call,1,02/28/2020,21.00,2100.52,03/04/2020,30.67,3066.41,965.90,
AMZN Apr 17 '20 $2100 Call,8,02/28/2020,21.00,16804.13,03/04/2020,30.69,24547.31,7743.18,
AMZN Apr 17 '20 $2100 Call,5,03/10/2020,16.50,8252.58,03/11/2020,10.45,5222.29,-3030.29,
AMZN Apr 17 '20 $2100 Call,14,03/10/2020,16.50,23107.23,03/11/2020,10.45,14622.42,-8484.81,
AMZN Apr 17 '20 $2100 Call,1,03/10/2020,16.50,1650.52,03/11/2020,10.45,1044.46,-606.06,
AMZN Apr 17 '20 $2100 Call,2,03/10/2020,16.50,3301.03,03/11/2020,10.45,2088.92,-1212.12,
AMZN Apr 17 '20 $2100 Call,1,03/10/2020,16.50,1650.52,03/11/2020,10.45,1044.46,-606.06,
AMZN Apr 17 '20 $2100 Call,1,03/10/2020,16.50,1650.52,03/11/2020,10.45,1044.46,-606.06,
AMZN Apr 17 '20 $2100 Call,2,03/10/2020,16.50,3301.03,03/11/2020,10.45,2088.92,-1212.12,
AMZN Apr 17 '20 $2100 Call,2,03/10/2020,16.49,3299.03,03/11/2020,10.45,2088.92,-1210.12,
AMZN Apr 17 '20 $2100 Call,1,03/10/2020,16.49,1649.52,03/11/2020,10.45,1044.46,-605.06,
AMZN Apr 17 '20 $2100 Call,1,03/10/2020,16.49,1649.52,03/11/2020,10.45,1044.46,-605.06,
AMZN Apr 17 '20 $2100 Call,6,03/19/2020,33.00,19803.10,03/19/2020,44.50,26696.30,6893.20,
AMZN Apr 17 '20 $2100 Call,3,03/19/2020,33.00,9901.55,03/19/2020,44.50,13348.15,3446.60,
AMZN Apr 17 '20 $2100 Call,21,03/19/2020,33.00,69310.84,03/19/2020,40.00,83987.26,14676.41,
AMZN Apr 17 '20 $2140 Call,5,02/25/2020,30.80,15403.33,03/04/2020,21.77,10882.17,-4521.16,
AMZN Apr 17 '20 $2140 Call,1,03/05/2020,16.81,1681.52,03/05/2020,19.30,1929.44,247.92,
AMZN Apr 17 '20 $2140 Call,5,02/25/2020,30.80,15403.33,03/05/2020,20.54,10267.18,-5136.15,
AMZN Apr 17 '20 $2140 Call,5,03/03/2020,17.20,8602.58,03/05/2020,21.00,10497.18,1894.59,
AMZN Apr 17 '20 $2140 Call,4,03/05/2020,16.73,6694.07,03/05/2020,19.32,7725.76,1031.69,
AMZN Apr 17 '20 $2160 Call,2,03/19/2020,28.50,5701.03,03/19/2020,29.00,5798.84,97.80,
AMZN Apr 17 '20 $2160 Call,11,03/19/2020,29.00,31905.68,03/19/2020,29.00,31893.59,-12.09,
AMZN Apr 17 '20 $2160 Call,5,03/19/2020,29.00,14502.58,03/19/2020,29.00,14497.09,-5.49,
AMZN Apr 17 '20 $2160 Call,2,03/19/2020,28.00,5601.03,03/19/2020,29.00,5798.84,197.80,
AMZN Apr 17 '20 $2160 Call,10,03/20/2020,12.00,12005.16,03/23/2020,14.00,13994.51,1989.34,
AMZN Apr 17 '20 $2160 Call,10,03/23/2020,11.50,11505.16,03/23/2020,14.00,13994.51,2489.34,
AMZN Apr 17 '20 $2200 Call,20,03/24/2020,14.00,28010.33,03/25/2020,12.00,23989.10,-4021.23,
AMZN Apr 17 '20 $1725 Put,10,03/27/2020,30.30,30305.16,04/18/2020,0.00,0.00,-30305.16,
AMZN Apr 17 '20 $1725 Put,5,03/30/2020,21.99,10997.58,04/18/2020,0.00,0.00,-10997.58,
AMZN Apr 17 '20 $1725 Put,5,03/30/2020,16.50,8252.58,04/18/2020,0.00,0.00,-8252.58,
AMZN Apr 17 '20 $1725 Put,10,03/31/2020,11.00,11005.16,04/18/2020,0.00,0.00,-11005.16,
AMZN Apr 17 '20 $1725 Put,9,04/06/2020,3.50,3154.65,04/18/2020,0.00,0.00,-3154.65,
AMZN Apr 17 '20 $2000 Put,4,04/13/2020,6.20,2482.07,04/18/2020,0.00,0.00,-2482.07,
AMZN Apr 17 '20 $2000 Put,6,04/13/2020,6.15,3693.10,04/18/2020,0.00,0.00,-3693.10,
AMZN Apr 17 '20 $2000 Put,10,04/13/2020,2.10,2105.16,04/18/2020,0.00,0.00,-2105.16,
AMZN Apr 17 '20 $2100 Put,5,04/14/2020,4.90,2452.58,04/18/2020,0.00,0.00,-2452.58,
AMZN Apr 17 '20 $2100 Put,2,04/14/2020,3.35,671.03,04/18/2020,0.00,0.00,-671.03,
AMZN Apr 17 '20 $2100 Put,3,04/14/2020,3.40,1021.55,04/18/2020,0.00,0.00,-1021.55,
AMZN Apr 17 '20 $2300 Put,10,04/16/2020,11.50,11505.16,04/18/2020,0.00,0.00,-11505.16,
AMZN Apr 17 '20 $2300 Put,4,04/16/2020,6.75,2702.07,04/18/2020,0.00,0.00,-2702.07,
AMZN Apr 17 '20 $2300 Put,1,04/16/2020,6.81,681.52,04/18/2020,0.00,0.00,-681.52,
AMZN Apr 17 '20 $2300 Put,5,04/17/2020,1.91,957.58,04/18/2020,0.00,0.00,-957.58,
AMZN May 01 '20 $2500 Call,2,04/27/2020,33.65,6731.03,04/27/2020,32.20,6438.82,-292.21,
AMZN May 08 '20 $2400 Call,3,05/05/2020,5.50,1651.55,05/09/2020,0.00,0.00,-1651.55,
AMZN May 08 '20 $2400 Call,4,05/05/2020,5.70,2282.07,05/09/2020,0.00,0.00,-2282.07,
AMZN May 08 '20 $2400 Call,8,05/05/2020,5.80,4644.13,05/09/2020,0.00,0.00,-4644.13,
AMZN May 08 '20 $2400 Call,15,05/07/2020,2.10,3157.75,05/09/2020,0.00,0.00,-3157.75,
AMZN May 08 '20 $2200 Put,2,05/01/2020,15.00,3001.03,05/01/2020,17.60,3518.89,517.85,
AMZN May 08 '20 $2200 Put,4,05/04/2020,7.40,2962.07,05/09/2020,0.00,0.00,-2962.07,
AMZN May 08 '20 $2200 Put,4,05/05/2020,2.00,802.07,05/09/2020,0.00,0.00,-802.07,
AMZN May 15 '20 $2400 Call,3,05/13/2020,9.00,2701.55,05/13/2020,14.50,4348.35,1646.80,
AMZN May 15 '20 $2450 Call,3,05/11/2020,15.00,4501.55,05/11/2020,14.00,4198.35,-303.20,
AMZN May 15 '20 $2450 Call,1,05/11/2020,15.00,1500.52,05/11/2020,14.00,1399.45,-101.07,
AMZN May 15 '20 $2450 Call,4,05/08/2020,7.77,3110.07,05/11/2020,11.90,4757.82,1647.76,
AMZN May 15 '20 $2200 Put,2,04/27/2020,25.00,5001.03,04/27/2020,33.50,6698.82,1697.78,
AMZN May 15 '20 $2200 Put,2,04/28/2020,35.00,7001.03,04/28/2020,44.00,8798.77,1797.74,
AMZN May 22 '20 $2500 Call,5,05/21/2020,4.75,2377.58,05/21/2020,6.20,3097.34,719.76,
AMZN May 22 '20 $2400 Put,5,05/19/2020,9.05,4527.58,05/19/2020,8.50,4247.31,-280.27,
AMZN May 22 '20 $2420 Put,5,05/20/2020,3.53,1767.58,05/21/2020,3.60,1797.37,29.79,
AMZN May 22 '20 $2470 Put,10,05/21/2020,4.60,4605.16,05/21/2020,9.50,9494.61,4889.44,
AMZN May 29 '20 $2430 Call,5,05/28/2020,13.08,6542.58,05/28/2020,13.00,6497.26,-45.32,
AMZN May 29 '20 $2430 Call,5,05/28/2020,8.00,4002.58,05/28/2020,11.20,5597.28,1594.70,
AMZN May 29 '20 $2400 Put,5,05/29/2020,7.95,3977.58,05/29/2020,8.00,3997.32,19.74,
AMZN May 29 '20 $2400 Put,5,05/29/2020,7.84,3922.58,05/29/2020,8.00,3997.32,74.74,
AMZN May 29 '20 $2400 Put,10,05/29/2020,5.76,5765.16,05/29/2020,8.00,7994.64,2229.48,
AMZN May 29 '20 $2400 Put,6,05/29/2020,6.25,3753.10,05/29/2020,4.44,2660.83,-1092.27,
AMZN May 29 '20 $2400 Put,4,05/29/2020,6.25,2502.07,05/29/2020,4.49,1793.89,-708.18,
AMZN Jun 05 '20 $2490 Call,2,06/05/2020,2.96,593.03,06/05/2020,2.72,542.95,-50.08,
AMZN Jun 05 '20 $2490 Call,3,06/05/2020,2.96,889.55,06/05/2020,2.72,814.43,-75.12,
AMZN Jun 05 '20 $2490 Call,1,06/05/2020,2.96,296.52,06/05/2020,2.72,271.48,-25.04,
AMZN Jun 05 '20 $2490 Call,2,06/05/2020,2.96,593.03,06/05/2020,2.72,542.95,-50.08,
AMZN Jun 05 '20 $2490 Call,1,06/05/2020,2.96,296.52,06/05/2020,2.75,274.48,-22.04,
AMZN Jun 05 '20 $2490 Call,1,06/05/2020,2.96,296.52,06/05/2020,2.75,274.48,-22.04,
AMZN Jun 05 '20 $2500 Call,10,06/02/2020,10.11,10115.16,06/02/2020,9.30,9294.61,-820.55,
AMZN Jun 05 '20 $2430 Put,9,06/04/2020,2.77,2497.65,06/04/2020,3.55,3190.26,692.62,
AMZN Jun 05 '20 $2430 Put,9,06/04/2020,2.79,2515.65,06/04/2020,3.55,3190.26,674.62,
AMZN Jun 05 '20 $2430 Put,1,06/04/2020,2.77,277.52,06/04/2020,3.58,357.47,79.96,
AMZN Jun 05 '20 $2430 Put,1,06/04/2020,2.79,279.52,06/04/2020,3.58,357.47,77.96,
AMZN Jun 05 '20 $2430 Put,2,06/04/2020,3.26,653.03,06/04/2020,3.25,648.95,-4.08,
AMZN Jun 05 '20 $2430 Put,1,06/04/2020,3.26,326.52,06/04/2020,3.25,324.47,-2.04,
AMZN Jun 05 '20 $2430 Put,2,06/04/2020,3.26,653.03,06/04/2020,3.25,648.95,-4.08,
AMZN Jun 05 '20 $2430 Put,1,06/04/2020,3.26,326.52,06/04/2020,3.25,324.47,-2.04,
AMZN Jun 05 '20 $2430 Put,1,06/04/2020,3.26,326.52,06/04/2020,3.25,324.47,-2.04,
AMZN Jun 05 '20 $2430 Put,10,06/04/2020,3.26,3265.16,06/04/2020,3.25,3244.74,-20.42,
AMZN Jun 05 '20 $2430 Put,1,06/04/2020,3.26,326.52,06/04/2020,3.25,324.47,-2.04,
AMZN Jun 05 '20 $2430 Put,2,06/04/2020,3.26,653.03,06/04/2020,3.25,648.95,-4.08,
AMZN Jun 05 '20 $2430 Put,20,06/04/2020,2.34,4690.33,06/04/2020,3.00,5989.50,1299.17,
AMZN Jun 05 '20 $2430 Put,10,06/04/2020,4.40,4405.16,06/06/2020,0.00,0.00,-4405.16,
AMZN Jun 05 '20 $2450 Put,10,06/05/2020,0.53,535.16,06/06/2020,0.00,0.00,-535.16,
AMZN Jun 12 '20 $2550 Call,1,06/08/2020,18.00,1800.52,06/08/2020,16.63,1662.44,-138.07,
AMZN Jun 12 '20 $2550 Call,2,06/08/2020,18.00,3601.03,06/08/2020,16.63,3324.89,-276.14,
AMZN Jun 12 '20 $2550 Call,1,06/08/2020,18.00,1800.52,06/08/2020,16.65,1664.44,-136.07,
AMZN Jun 12 '20 $2550 Call,1,06/08/2020,18.00,1800.52,06/08/2020,16.65,1664.44,-136.07,
AMZN Jun 12 '20 $2550 Call,4,06/08/2020,13.65,5462.07,06/08/2020,17.30,6917.77,1455.71,
AMZN Jun 12 '20 $2550 Call,1,06/08/2020,13.65,1365.52,06/08/2020,17.35,1734.44,368.93,
